OPEN and ALL Service Divisions,,,,,,,
MAXIMUM SCORE = 400,,,,,,,
Raw Cisco Quiz of 30 = 30 ,,,,,Total Cisco Score = 100,,
Packet Tracer Score =70 Weighted,,,,,Total CCS Image Score = 300,,
Team #,Division / Category,Location,Tier,Round Network Security (Images),Round Cisco Networking ,Cumulative,Advancement
12-5073,Civil Air Patrol,MD,Gold,61,0,61,Does Not Advance
12-5078,Navy JROTC,CA,Platinum,170,67.8,237.8,Advances to Semifinals
12-5080,Civil Air Patrol,MN,Silver,18,0,18,Does Not Advance
12-5082,Open,CA,Gold,120,53.26,173.26,Does Not Advance
12-5083,Open,CA,Gold,62,0,62,Does Not Advance
12-5084,Open,CA,Gold,155,59.42,214.42,Advances to Semifinals
12-5085,Open,CA,Platinum,132,66.88,198.88,Does Not Advance
12-5086,Open,CA,Silver,69,89.13,158.13,Advances to Semifinals
12-5087,Open,TX,Gold,35,19,54,Does Not Advance
12-5088,Open,TX,Platinum,132,68.84,200.84,Does Not Advance
12-5089,Open,TX,Platinum,145,52.47,197.47,Does Not Advance
12-5090,Air Force JROTC,TX,Gold,29,17,46,Does Not Advance
12-5100,Civil Air Patrol,TX,Gold,89,0,89,Does Not Advance
12-5104,Open,VA,Silver,28,0,28,Does Not Advance
12-5106,Open,MI,Platinum,138,61.43,199.43,Does Not Advance
12-5109,Open,MO,Silver,51,20.25,71.25,Does Not Advance
12-5110,Open,MO,Silver,54,9,63,Does Not Advance
12-5111,Open,IL,Gold,150,58.43,208.43,Advances to Semifinals
12-5112,Open,SC,Silver,102,75.84,177.84,Advances to Semifinals
12-5113,Air Force JROTC,KS,Platinum,113,51.86,164.86,Does Not Advance
12-5114,Air Force JROTC,KS,Platinum,121,37.53,158.53,Does Not Advance
12-5115,Open,MI,Gold,71,16,87,Does Not Advance
12-5118,Open,NC,Platinum,103,22,125,Does Not Advance
12-5121,Open,TX,Gold,Withheld,Withheld,0,Registration Action Required
12-5126,Navy JROTC,NM,Gold,96,32.64,128.64,Advances to Semifinals
12-5127,Open,CO,Platinum,181,80.96,261.96,Advances to Semifinals
12-5132,Open,CO,Platinum,183,88.05,271.05,Advances to Semifinals
12-5133,Open,CO,Gold,102,58.34,160.34,Does Not Advance
12-5137,Open,CO,Gold,141,56.93,197.93,Advances to Semifinals
12-5140,Open,CO,Gold,97,0,97,Does Not Advance
12-5141,Open,CAN,Platinum,175,88.36,263.36,Advances to Semifinals
12-5142,Open,CAN,Platinum,172,80.28,252.28,Does Not Advance
12-5146,Open,PA,Silver,8,0,8,Does Not Advance
12-5147,Open,PA,Silver,49,21,70,Does Not Advance
12-5149,Open,TX,Silver,63,67.73,130.73,Advances to Semifinals
12-5151,Open,CA,Platinum,101,43.75,144.75,Does Not Advance
12-5153,Open,CA,Gold,25,66.88,91.88,Does Not Advance
12-5155,Open,TX,Silver,Withheld,Withheld,0,Registration Action Required
12-5156,Open,CO,Gold,Withheld,Withheld,0,Registration Action Required
12-5160,Open,TX,Gold,117,49.68,166.68,Does Not Advance
12-5166,Open,MI,Gold,103,56.93,159.93,Does Not Advance
12-5167,Open,MI,Silver,27,29.65,56.65,Does Not Advance
12-5168,Open,CO,Gold,145,38.68,183.68,Advances to Semifinals
12-5170,Open,CAN,Silver,48,0,48,Does Not Advance
12-5172,Open,MD,Gold,159,22.5,181.5,Does Not Advance
12-5173,Open,CAN,Silver,13,0,13,Does Not Advance
12-5174,Open,VA,Gold,31,24.5,55.5,Does Not Advance
12-5175,Air Force JROTC,WA,Gold,15,43.17,58.17,Does Not Advance
12-5176,Open,VA,Gold,100,24,124,Does Not Advance
12-5177,Open,MD,Platinum,191,69.82,260.82,Advances to Semifinals
12-5178,Open,SC,Silver,150,95.76,245.76,Advances to Semifinals
12-5179,Open,SC,Silver,109,94.32,203.32,Advances to Semifinals
12-5182,Open,HI,Silver,82,0,82,Does Not Advance
12-5183,Navy JROTC,GA,Platinum,93,40.42,133.42,Does Not Advance
12-5184,Open,GA,Platinum,204,54.61,258.61,Advances to Semifinals
12-5186,Army JROTC,WA,Gold,41,0,41,Does Not Advance
12-5187,Open,CA,Gold,Withheld,Withheld,0,Registration Action Required
12-5188,Open,IL,Silver,47,0,47,Does Not Advance
12-5189,Open,CA,Platinum,121,65.47,186.47,Does Not Advance
12-5190,Open,IL,Silver,16,0,16,Does Not Advance
12-5191,Open,IL,Gold,100,37.86,137.86,Does Not Advance
12-5194,Air Force JROTC,CA,Silver,80,18,98,Advances to Semifinals
12-5195,Air Force JROTC,TX,Silver,67,0,67,Advances to Semifinals
12-5197,Open,CA,Platinum,187,65.11,252.11,Does Not Advance
12-5202,Navy JROTC,FL,Gold,112,46.72,158.72,Advances to Semifinals
12-5212,Navy JROTC,CA,Silver,9,0,9,Does Not Advance
12-5218,Civil Air Patrol,FL,Gold,28,0,28,Does Not Advance
12-5219,Civil Air Patrol,FL,Platinum,42,54.39,96.39,Does Not Advance
12-5225,Open,CA,Silver,88,17.25,105.25,Does Not Advance
12-5226,Open,CA,Silver,125,32.98,157.98,Advances to Semifinals
12-5227,Open,FL,Silver,83,29.3,112.3,Does Not Advance
12-5228,Open,FL,Silver,43,74.59,117.59,Does Not Advance
12-5229,Open,WA,Platinum,165,87.38,252.38,Does Not Advance
12-5230,Open,DE,Platinum,130,91.05,221.05,Does Not Advance
12-5231,Open,WA,Platinum,165,55.43,220.43,Does Not Advance
12-5233,Open,NV,Silver,22,14.41,36.41,Does Not Advance
12-5234,Open,NV,Silver,13,68.85,81.85,Does Not Advance
12-5236,Open,NV,Silver,6,18.75,24.75,Does Not Advance
12-5237,Open,NV,Silver,87,51.44,138.44,Advances to Semifinals
12-5241,Civil Air Patrol,AR,Silver,15,0,15,Does Not Advance
12-5249,Civil Air Patrol,VT,Gold,24,0,24,Does Not Advance
12-5251,Open,PA,Gold,120,47.88,167.88,Does Not Advance
12-5252,Air Force JROTC,TX,Silver,82,63.92,145.92,Advances to Semifinals
12-5253,Air Force JROTC,TX,Silver,90,0,90,Advances to Semifinals
12-5254,Air Force JROTC,TX,Silver,82,0,82,Advances to Semifinals
12-5257,Navy JROTC,NV,Silver,37,13.73,50.73,Does Not Advance
12-5260,Open,AR,Gold,77,11.5,88.5,Does Not Advance
12-5261,Open,VA,Silver,0,0,0,Does Not Advance
12-5262,Open,VA,Gold,169,44.01,213.01,Advances to Semifinals
12-5263,Open,VA,Gold,62,0,62,Does Not Advance
12-5264,Open,VA,Gold,183,49.38,232.38,Advances to Semifinals
12-5266,Civil Air Patrol,TX,Silver,19,0,19,Does Not Advance
12-5268,Open,AZ,Silver,42,18.75,60.75,Does Not Advance
12-5269,Open,AZ,Silver,57,59.02,116.02,Does Not Advance
12-5271,Air Force JROTC,NC,Silver,10,0,10,Does Not Advance
12-5272,Open,CA,Platinum,165,62.86,227.86,Does Not Advance
12-5279,Open,MO,Gold,141,44.05,185.05,Advances to Semifinals
12-5280,Open,MO,Gold,129,18,147,Does Not Advance
12-5281,Open,SC,Gold,70,0,70,Does Not Advance
12-5285,Open,NJ,Gold,114,51.71,165.71,Does Not Advance
12-5286,Open,NJ,Platinum,163,61.07,224.07,Does Not Advance
12-5287,Open,NJ,Gold,104,0,104,Does Not Advance
12-5288,Open,NJ,Silver,61,18,79,Does Not Advance
12-5298,Open,NC,Silver,72,30.73,102.73,Does Not Advance
12-5299,Air Force JROTC,TX,Platinum,155,90.38,245.38,Advances to Semifinals
12-5301,Open,CAN,Platinum,136,59.11,195.11,Does Not Advance
12-5302,Open,CAN,Platinum,135,0,135,Does Not Advance
12-5303,Open,MA,Platinum,147,67.13,214.13,Does Not Advance
12-5304,Open,MA,Platinum,102,51.71,153.71,Does Not Advance
12-5307,Open,TX,Gold,119,33.64,152.64,Does Not Advance
12-5315,Open,CAN,Platinum,149,47.36,196.36,Does Not Advance
12-5316,Open,CAN,Gold,91,51.75,142.75,Does Not Advance
12-5319,Open,MA,Silver,21,0,21,Does Not Advance
12-5322,Open,TN,Silver,3,15.75,18.75,Does Not Advance
12-5323,Open,TX,Silver,Withheld,Withheld,0,Registration Action Required
12-5327,Civil Air Patrol,AL,Silver,3,0,3,Does Not Advance
12-5331,Open,CAN,Platinum,179,71.21,250.21,Does Not Advance
12-5333,Open,CAN,Platinum,210,67.25,277.25,Advances to Semifinals
12-5334,Open,GA,Silver,86,0,86,Does Not Advance
12-5335,Open,GA,Silver,121,0,121,Advances to Semifinals
12-5338,Open,TN,Silver,34,0,34,Does Not Advance
12-5339,Open,AZ,Gold,93,47.21,140.21,Does Not Advance
12-5343,Air Force JROTC,WV,Platinum,94,20,114,Does Not Advance
12-5344,Air Force JROTC,TX,Platinum,49,10,59,Does Not Advance
12-5345,Open,IN,Silver,16,62.59,78.59,Does Not Advance
12-5346,Open,AL,Silver,41,11.25,52.25,Does Not Advance
12-5349,Air Force JROTC,NM,Silver,48,0,48,Does Not Advance
12-5350,Air Force JROTC,NM,Silver,56,0,56,Does Not Advance
12-5352,Air Force JROTC,TX,Platinum,189,55.75,244.75,Advances to Semifinals
12-5353,Air Force JROTC,TX,Platinum,118,40.17,158.17,Does Not Advance
12-5354,Air Force JROTC,TX,Platinum,112,46.38,158.38,Does Not Advance
12-5355,Air Force JROTC,TX,Platinum,114,39.5,153.5,Does Not Advance
12-5356,Navy JROTC,FL,Platinum,74,56.46,130.46,Does Not Advance
12-5357,Civil Air Patrol,TN,Gold,33,10.5,43.5,Does Not Advance
12-5358,Open,CT,Silver,123,68.96,191.96,Advances to Semifinals
12-5359,Air Force JROTC,LA,Gold,88,49.07,137.07,Advances to Semifinals
12-5361,Navy JROTC,CA,Gold,97,20,117,Does Not Advance
12-5363,Civil Air Patrol,WA,Silver,89,24,113,Advances to Semifinals
12-5370,Open,VA,Platinum,154,61.8,215.8,Does Not Advance
12-5371,Open,TN,Platinum,182,45.47,227.47,Does Not Advance
12-5373,Air Force JROTC,FL,Silver,89,52.84,141.84,Advances to Semifinals
12-5378,Open,VA,Silver,45,18,63,Does Not Advance
12-5379,Open,VA,Gold,144,85.3,229.3,Advances to Semifinals
12-5402,Open,TX,Silver,44,0,44,Does Not Advance
12-5407,Open,CA,Gold,72,0,72,Does Not Advance
12-5410,Army JROTC,TX,Gold,69,64.18,133.18,Advances to Semifinals
12-5414,Civil Air Patrol,FL,Gold,63,54.03,117.03,Does Not Advance
12-5436,Open,PA,Gold,167,70.18,237.18,Advances to Semifinals
12-5437,Air Force JROTC,IL,Silver,4,15,19,Does Not Advance
12-5440,Open,TX,Gold,85,36.64,121.64,Does Not Advance
12-5443,Open,CA,Gold,100,21,121,Does Not Advance
12-5447,Open,KS,Gold,84,37.47,121.47,Does Not Advance
12-5448,Open,KS,Gold,87,37.01,124.01,Does Not Advance
12-5452,Open,VA,Gold,151,55.43,206.43,Advances to Semifinals
12-5458,Open,AR,Gold,111,50.76,161.76,Does Not Advance
12-5459,Air Force JROTC,NE,Silver,15,22.5,37.5,Does Not Advance
12-5461,Open,AZ,Platinum,144,55.93,199.93,Does Not Advance
12-5462,Open,FL,Silver,79,0,79,Does Not Advance
12-5463,Open,FL,Silver,75,9,84,Does Not Advance
12-5464,Open,SC,Platinum,191,81.32,272.32,Advances to Semifinals
12-5466,Open,AL,Platinum,123,41.68,164.68,Does Not Advance
12-5468,Open,VA,Silver,64,80.08,144.08,Advances to Semifinals
12-5470,Open,VA,Silver,21,35.78,56.78,Does Not Advance
12-5471,Air Force JROTC,NV,Gold,79,11.5,90.5,Does Not Advance
12-5472,Air Force JROTC,NV,Gold,67,15,82,Does Not Advance
12-5473,Open,CA,Silver,-2,18.61,16.61,Does Not Advance
12-5476,Air Force JROTC,TX,Gold,53,11,64,Does Not Advance
12-5479,Open,TX,Gold,131,60.46,191.46,Advances to Semifinals
12-5481,Open,MD,Platinum,96,51.57,147.57,Does Not Advance
12-5482,Naval Sea Cadets Corps,CA,Platinum,177,60.46,237.46,Advances to Semifinals
12-5483,Marine Corps JROTC,CA,Gold,59,0,59,Does Not Advance
12-5484,Marine Corps JROTC,CA,Gold,63,0,63,Does Not Advance
12-5485,Air Force JROTC,CO,Platinum,108,64.88,172.88,Does Not Advance
12-5492,Army JROTC,NM,Platinum,101,41.32,142.32,Does Not Advance
12-5493,Open,TN,Gold,161,0,161,Does Not Advance
12-5494,Open,TN,Silver,59,0,59,Does Not Advance
12-5495,Army JROTC,NM,Platinum,91,46.01,137.01,Does Not Advance
12-5498,Army JROTC,TX,Silver,35,0,35,Does Not Advance
12-5500,Navy JROTC,VA,Platinum,86,0,86,Does Not Advance
12-5501,Navy JROTC,VA,Gold,119,0,119,Does Not Advance
12-5504,Air Force JROTC,OK,Platinum,93,11,104,Does Not Advance
12-5505,Air Force JROTC,OK,Gold,46,0,46,Does Not Advance
12-5506,Air Force JROTC,OK,Gold,111,36.36,147.36,Advances to Semifinals
12-5507,Air Force JROTC,OK,Gold,78,0,78,Does Not Advance
12-5508,Air Force JROTC,OK,Silver,36,0,36,Does Not Advance
12-5510,Air Force JROTC,AZ,Gold,20,16,36,Does Not Advance
12-5513,Open,AR,Silver,70,21.75,91.75,Does Not Advance
12-5515,Open,WI,Gold,126,12,138,Does Not Advance
12-5516,Open,WI,Platinum,125,21,146,Does Not Advance
12-5523,Open,CA,Gold,94,0,94,Does Not Advance
12-5524,Open,CA,Gold,75,0,75,Does Not Advance
12-5526,Navy JROTC,SC,Platinum,137,36.67,173.67,Does Not Advance
12-5529,Open,WA,Platinum,105,0,105,Does Not Advance
12-5533,Air Force JROTC,TX,Platinum,155,45.18,200.18,Advances to Semifinals
12-5535,Air Force JROTC,TX,Silver,Withheld,Withheld,0,Registration Action Required
12-5536,Navy JROTC,CA,Gold,58,41.14,99.14,Does Not Advance
12-5546,Open,HI,Silver,63,72.17,135.17,Advances to Semifinals
12-5547,Civil Air Patrol,IL,Gold,35,0,35,Does Not Advance
12-5548,Open,CA,Platinum,223,71.84,294.84,Advances to Semifinals
12-5549,Open,CA,Platinum,99,75.63,174.63,Does Not Advance
12-5550,Open,CA,Platinum,189,75.88,264.88,Advances to Semifinals
12-5552,Open,CA,Platinum,156,62.42,218.42,Does Not Advance
12-5558,Open,CA,Silver,59,0,59,Does Not Advance
12-5559,Open,CA,Gold,113,32.14,145.14,Does Not Advance
12-5560,Open,CA,Gold,147,54.03,201.03,Advances to Semifinals
12-5561,Open,AUS,Silver,14,0,14,Does Not Advance
12-5562,Open,AUS,Silver,44,0,44,Does Not Advance
12-5563,Open,OH,Gold,87,3,90,Does Not Advance
12-5564,Open,OH,Gold,53,32.01,85.01,Does Not Advance
12-5565,Open,OH,Platinum,102,47.55,149.55,Does Not Advance
12-5566,Open,OH,Platinum,97,57.46,154.46,Does Not Advance
12-5572,Civil Air Patrol,CO,Gold,101,37,138,Advances to Semifinals
12-5574,Navy JROTC,MD,Gold,36,38.86,74.86,Does Not Advance
12-5578,Open,VA,Platinum,250,92.71,342.71,Advances to Semifinals
12-5579,Open,GA,Silver,67,0,67,Does Not Advance
12-5581,Open,MI,Gold,75,34.36,109.36,Does Not Advance
12-5582,Open,MI,Silver,66,58.98,124.98,Advances to Semifinals
12-5583,Open,MI,Gold,120,58.28,178.28,Does Not Advance
12-5584,Open,MI,Gold,87,47.39,134.39,Does Not Advance
12-5585,Open,MI,Gold,150,55.42,205.42,Advances to Semifinals
12-5586,Air Force JROTC,VA,Silver,0,0,0,Does Not Advance
12-5589,Air Force JROTC,VA,Silver,0,0,0,Does Not Advance
12-5594,Air Force JROTC,VA,Silver,0,0,0,Does Not Advance
12-5596,Open,VA,Gold,108,45.22,153.22,Does Not Advance
12-5597,Open,VA,Platinum,120,61.28,181.28,Does Not Advance
12-5598,Navy JROTC,CA,Gold,62,0,62,Does Not Advance
12-5599,Navy JROTC,CA,Gold,79,16,95,Does Not Advance
12-5600,Navy JROTC,FL,Silver,68,41.59,109.59,Advances to Semifinals
12-5602,Open,DE,Platinum,104,0,104,Does Not Advance
12-5604,Open,TX,Silver,45,22.5,67.5,Does Not Advance
12-5606,Open,MI,Gold,141,19,160,Does Not Advance
12-5607,Open,VA,Platinum,140,56.57,196.57,Does Not Advance
12-5608,Open,CAN,Silver,60,53.02,113.02,Does Not Advance
12-5609,Open,MI,Silver,118,61.93,179.93,Advances to Semifinals
12-5610,Open,VA,Platinum,159,51.64,210.64,Does Not Advance
12-5611,Open,MI,Silver,158,0,158,Advances to Semifinals
12-5612,Open,TX,Gold,154,8,162,Does Not Advance
12-5613,Open,MO,Gold,35,37.55,72.55,Does Not Advance
12-5614,Open,VA,Platinum,157,49.32,206.32,Does Not Advance
12-5615,Open,WI,Silver,51,12.75,63.75,Does Not Advance
12-5616,Open,VA,Platinum,152,65.17,217.17,Does Not Advance
12-5617,Open,WI,Platinum,177,62.78,239.78,Does Not Advance
12-5618,Open,VA,Gold,99,57.39,156.39,Does Not Advance
12-5619,Open,TX,Gold,144,22.5,166.5,Does Not Advance
12-5620,Open,MD,Platinum,193,75.26,268.26,Advances to Semifinals
12-5621,Open,MD,Gold,157,54.34,211.34,Advances to Semifinals
12-5622,Open,MD,Gold,128,19.5,147.5,Does Not Advance
12-5627,Open,OH,Gold,110,38.42,148.42,Does Not Advance
12-5628,Open,MD,Silver,32,0,32,Does Not Advance
12-5636,Open,VA,Gold,165,59.3,224.3,Advances to Semifinals
12-5650,Army JROTC,HI,Silver,-1,15,14,Does Not Advance
12-5651,Open,MI,Gold,135,64.92,199.92,Advances to Semifinals
12-5652,Open,MI,Silver,48,19.55,67.55,Does Not Advance
12-5654,Open,MI,Gold,102,41.51,143.51,Does Not Advance
12-5655,Open,MI,Silver,50,3.75,53.75,Does Not Advance
12-5656,Open,MI,Gold,99,64.34,163.34,Does Not Advance
12-5657,Open,NY,Gold,184,66.82,250.82,Advances to Semifinals
12-5659,Open,NY,Silver,37,15,52,Does Not Advance
12-5665,Army JROTC,TX,Silver,33,0,33,Does Not Advance
12-5666,Army JROTC,TX,Silver,31,43.58,74.58,Advances to Semifinals
12-5667,Open,TX,Gold,88,27,115,Does Not Advance
12-5668,Air Force JROTC,WA,Silver,30,0,30,Does Not Advance
12-5672,Air Force JROTC,WA,Silver,26,0,26,Does Not Advance
12-5675,Open,CA,Gold,81,0,81,Does Not Advance
12-5676,Open,CA,Platinum,165,63.96,228.96,Does Not Advance
12-5677,Army JROTC,TX,Platinum,62,21,83,Does Not Advance
12-5678,Army JROTC,TX,Silver,19,0,19,Does Not Advance
12-5682,Army JROTC,TX,Silver,30,15.75,45.75,Does Not Advance
12-5685,Open,CA,Platinum,110,61.78,171.78,Does Not Advance
12-5691,Air Force JROTC,TN,Platinum,30,6,36,Does Not Advance
12-5692,Open,IL,Platinum,138,21,159,Does Not Advance
12-5693,Open,CA,Gold,72,55.46,127.46,Does Not Advance
12-5695,Open,CA,Platinum,93,66.3,159.3,Does Not Advance
12-5696,Open,CA,Gold,119,43.01,162.01,Does Not Advance
12-5697,Open,IL,Gold,126,59.05,185.05,Advances to Semifinals
12-5698,Open,CA,Gold,116,54.39,170.39,Does Not Advance
12-5701,Open,IL,Gold,100,39.64,139.64,Does Not Advance
12-5702,Open,IL,Silver,109,28.55,137.55,Advances to Semifinals
12-5703,Open,TX,Gold,70,48.64,118.64,Does Not Advance
12-5706,Marine Corps JROTC,SC,Platinum,125,36.64,161.64,Does Not Advance
12-5715,Air Force JROTC,CA,Silver,29,0,29,Does Not Advance
12-5717,Navy JROTC,CA,Platinum,42,9,51,Does Not Advance
12-5720,Open,CA,Gold,Withheld,Withheld,0,Registration Action Required
12-5722,Open,OH,Silver,41,38.09,79.09,Does Not Advance
12-5723,Open,OH,Silver,14,12,26,Does Not Advance
12-5724,Open,OH,Silver,4,11.25,15.25,Does Not Advance
12-5726,Civil Air Patrol,NY,Silver,0,19.5,19.5,Does Not Advance
12-5727,Open,AL,Silver,25,25.55,50.55,Does Not Advance
12-5732,Open,CA,Silver,31,16.5,47.5,Does Not Advance
12-5734,Open,CA,Silver,8,0,8,Does Not Advance
12-5736,Open,CA,Silver,33,43.83,76.83,Does Not Advance
12-5747,Open,MD,Gold,114,71.84,185.84,Advances to Semifinals
12-5748,Open,MD,Platinum,137,59.42,196.42,Does Not Advance
12-5749,Open,MD,Gold,112,64.43,176.43,Does Not Advance
12-5752,Open,IN,Gold,117,48.18,165.18,Does Not Advance
12-5753,Open,CO,Gold,106,66.46,172.46,Does Not Advance
12-5754,Open,CO,Platinum,190,73.92,263.92,Advances to Semifinals
12-5755,Open,CO,Platinum,149,84.68,233.68,Does Not Advance
12-5756,Open,CO,Platinum,111,62.76,173.76,Does Not Advance
12-5757,Open,CO,Gold,123,54.05,177.05,Does Not Advance
12-5758,Open,CO,Gold,104,52.01,156.01,Does Not Advance
12-5759,Open,GA,Silver,42,72.15,114.15,Does Not Advance
12-5762,Open,MD,Gold,203,64.8,267.8,Advances to Semifinals
12-5764,Army JROTC,UT,Silver,26,0,26,Does Not Advance
12-5765,Open,MD,Silver,2,22.55,24.55,Does Not Advance
12-5766,Navy JROTC,SC,Silver,10,0,10,Does Not Advance
12-5767,Open,RI,Platinum,119,45.43,164.43,Does Not Advance
12-5768,Open,CAN,Gold,118,55.13,173.13,Does Not Advance
12-5769,Open,RI,Gold,85,43.86,128.86,Does Not Advance
12-5771,Open,CA,Platinum,142,79.14,221.14,Does Not Advance
12-5774,Open,FL,Gold,Withheld,Withheld,0,Registration Action Required
12-5776,Open,CO,Gold,129,59.42,188.42,Advances to Semifinals
12-5781,Navy JROTC,HI,Gold,64,43.68,107.68,Does Not Advance
12-5782,Air Force JROTC,TX,Platinum,94,0,94,Does Not Advance
12-5785,Open,CA,Gold,137,45.39,182.39,Does Not Advance
12-5786,Open,CA,Platinum,164,48.76,212.76,Does Not Advance
12-5787,Open,CA,Gold,118,36.78,154.78,Does Not Advance
12-5789,Open,CO,Platinum,146,49.21,195.21,Does Not Advance
12-5790,Navy JROTC,CA,Gold,49,41.14,90.14,Does Not Advance
12-5792,Navy JROTC,SC,Platinum,Withheld,Withheld,0,Registration Action Required
12-5793,Navy JROTC,SC,Gold,Withheld,Withheld,0,Registration Action Required
12-5796,Open,RI,Gold,110,61.01,171.01,Does Not Advance
12-5804,Open,WA,Silver,77,0,77,Does Not Advance
12-5805,Open,WA,Gold,150,21,171,Does Not Advance
12-5810,Open,TX,Gold,110,6,116,Does Not Advance
12-5823,Open,VA,Silver,65,27.05,92.05,Does Not Advance
12-5827,Open,MD,Gold,142,45.71,187.71,Advances to Semifinals
12-5828,Open,MD,Gold,99,49.38,148.38,Does Not Advance
12-5840,Open,OH,Gold,142,54.13,196.13,Advances to Semifinals
12-5841,Open,OH,Gold,104,58.96,162.96,Does Not Advance
12-5843,Open,TX,Platinum,125,60.51,185.51,Does Not Advance
12-5844,Open,TX,Platinum,119,59.84,178.84,Does Not Advance
12-5845,Open,GA,Gold,90,56.96,146.96,Does Not Advance
12-5846,Open,OH,Silver,94,0,94,Does Not Advance
12-5848,Air Force JROTC,CA,Silver,26,0,26,Does Not Advance
12-5850,Navy JROTC,HI,Platinum,123,37.07,160.07,Does Not Advance
12-5851,Open,VA,Gold,96,37.14,133.14,Does Not Advance
12-5852,Open,VA,Gold,81,31.64,112.64,Does Not Advance
12-5854,Navy JROTC,FL,Gold,55,12,67,Does Not Advance
12-5856,Navy JROTC,MD,Silver,21,0,21,Does Not Advance
12-5860,Open,WA,Gold,118,38.5,156.5,Does Not Advance
12-5861,Open,WA,Gold,99,0,99,Does Not Advance
12-5864,Open,TX,Platinum,159,51.93,210.93,Does Not Advance
12-5865,Open,TX,Platinum,147,45.64,192.64,Does Not Advance
12-5866,Open,NV,Gold,119,39.84,158.84,Does Not Advance
12-5867,Open,NV,Gold,44,45.09,89.09,Does Not Advance
12-5869,Open,IL,Gold,128,64.8,192.8,Advances to Semifinals
12-5870,Open,IL,Gold,96,34.17,130.17,Does Not Advance
12-5871,Open,TX,Platinum,123,48.34,171.34,Does Not Advance
12-5872,Open,TX,Gold,127,67.86,194.86,Advances to Semifinals
12-5873,Open,NY,Platinum,182,30,212,Does Not Advance
12-5874,Air Force JROTC,WA,Silver,18,0,18,Does Not Advance
12-5875,Open,NY,Platinum,129,30,159,Does Not Advance
12-5876,Open,NY,Platinum,101,28,129,Does Not Advance
12-5877,Open,CO,Gold,116,19.5,135.5,Does Not Advance
12-5878,Open,TX,Platinum,158,55.82,213.82,Does Not Advance
12-5880,Open,TX,Silver,158,15.75,173.75,Advances to Semifinals
12-5881,Open,MI,Gold,87,39.03,126.03,Does Not Advance
12-5883,Open,MI,Platinum,126,36.17,162.17,Does Not Advance
12-5884,Open,CO,Gold,157,60.11,217.11,Advances to Semifinals
12-5885,Open,MI,Gold,159,37.32,196.32,Advances to Semifinals
12-5886,Open,TX,Gold,117,55.38,172.38,Does Not Advance
12-5887,Open,TX,Gold,136,40.01,176.01,Does Not Advance
12-5888,Air Force JROTC,CA,Silver,29,0,29,Does Not Advance
12-5889,Air Force JROTC,CA,Silver,13,0,13,Does Not Advance
12-5890,Open,HI,Gold,115,66.36,181.36,Does Not Advance
12-5893,Open,IL,Gold,130,53.55,183.55,Advances to Semifinals
12-5896,Army JROTC,CA,Silver,25,0,25,Does Not Advance
12-5898,Open,HI,Silver,6,0,6,Does Not Advance
12-5909,Civil Air Patrol,FL,Silver,26,0,26,Does Not Advance
12-5910,Open,WA,Silver,71,46.63,117.63,Does Not Advance
12-5911,Open,CA,Silver,16,0,16,Does Not Advance
12-5920,Open,PA,Gold,120,44.3,164.3,Does Not Advance
12-5921,Open,MI,Gold,112,0,112,Does Not Advance
12-5924,Open,OH,Gold,96,55.71,151.71,Does Not Advance
12-5928,Open,FL,Gold,200,78.57,278.57,Advances to Semifinals
12-5932,Air Force JROTC,TX,Silver,39,15,54,Does Not Advance
12-5935,Air Force JROTC,CA,Silver,5,0,5,Does Not Advance
12-5938,Open,MD,Silver,125,0,125,Advances to Semifinals
12-5939,Open,MO,Silver,92,0,92,Does Not Advance
12-5946,Open,AL,Silver,114,26.98,140.98,Advances to Semifinals
12-5949,Open,CA,Platinum,177,56.39,233.39,Does Not Advance
12-5950,Open,CA,Silver,58,42.96,100.96,Does Not Advance
12-5951,Open,CA,Gold,130,36.84,166.84,Does Not Advance
12-5952,Open,MO,Platinum,206,68.53,274.53,Advances to Semifinals
12-5953,Open,MO,Platinum,149,67.18,216.18,Does Not Advance
12-5954,Open,MO,Gold,127,64.13,191.13,Advances to Semifinals
12-5955,Open,NJ,Gold,100,49.89,149.89,Does Not Advance
12-5956,Open,NJ,Silver,Withheld,Withheld,0,Registration Action Required
12-5963,Air Force JROTC,GA,Gold,44,36.67,80.67,Does Not Advance
12-5964,Open,AL,Gold,73,39.72,112.72,Does Not Advance
12-5967,Open,NC,Gold,102,11,113,Does Not Advance
12-5968,Open,NC,Silver,141,16.5,157.5,Advances to Semifinals
12-5969,Open,AZ,Platinum,170,41.14,211.14,Does Not Advance
12-5970,Open,NC,Silver,32,71.59,103.59,Does Not Advance
12-5973,Open,TX,Silver,74,18.75,92.75,Does Not Advance
12-5974,Open,FL,Platinum,160,92.71,252.71,Does Not Advance
12-5976,Open,FL,Platinum,167,85.82,252.82,Does Not Advance
12-5977,Open,FL,Platinum,151,83.64,234.64,Does Not Advance
12-5978,Open,FL,Platinum,148,87.32,235.32,Does Not Advance
12-5979,Open,FL,Platinum,162,30,192,Does Not Advance
12-5981,Open,VA,Gold,87,43.17,130.17,Does Not Advance
12-5982,Civil Air Patrol,KS,Gold,36,0,36,Does Not Advance
12-5986,Open,SC,Silver,114,79.02,193.02,Advances to Semifinals
12-5990,Open,CA,Platinum,33,18.5,51.5,Does Not Advance
12-5992,Open,CA,Gold,48,0,48,Does Not Advance
